Date;Time;CO(GT);NMHC(GT);C6H6(GT);NOx(GT);NO2(GT);T;RH;AH
16/04/2004;04.00.00;1;70;3,6;63;69;11,9;74,8;1,0380
16/04/2004;05.00.00;1,2;93;5,4;97;77;11,6;76,4;1,0415
16/04/2004;06.00.00;2;179;10,0;180;87;11,7;75,3;1,0325
16/04/2004;07.00.00;4,5;523;23,2;352;109;12,8;71,0;1,0428
16/04/2004;08.00.00;4,1;546;18,7;279;116;13,8;61,1;0,9595
16/04/2004;09.00.00;2,6;251;9,9;186;105;15,3;51,4;0,8886
16/04/2004;10.00.00;2,3;222;10,2;169;106;16,6;48,7;0,9146
16/04/2004;11.00.00;2,6;212;11,0;172;108;17,6;46,7;0,9324
16/04/2004;12.00.00;2,4;263;10,5;127;100;19,2;42,7;0,9425
16/04/2004;13.00.00;4,3;535;18,9;230;149;15,7;62,5;1,1092
16/04/2004;14.00.00;4,6;609;18,9;280;148;14,5;75,7;1,2425
16/04/2004;15.00.00;4;449;17,5;242;126;14,4;77,4;1,2654
16/04/2004;16.00.00;4,7;536;17,7;250;140;14,6;74,9;1,2391
16/04/2004;17.00.00;5,7;743;23,0;309;142;14,6;76,0;1,2573
16/04/2004;18.00.00;5,2;575;20,4;270;141;14,0;76,3;1,2166
16/04/2004;19.00.00;6,4;783;26,8;323;149;13,9;78,0;1,2303
16/04/2004;20.00.00;6;706;19,9;307;140;13,8;78,0;1,2229
16/04/2004;21.00.00;3,4;299;12,5;224;117;13,5;79,4;1,2224
16/04/2004;22.00.00;2,7;159;9,6;166;103;13,1;80,1;1,2016
16/04/2004;23.00.00;3,1;171;10,0;171;99;12,8;81,0;1,1915
17/04/2004;00.00.00;2,6;162;8,1;169;100;12,7;80,6;1,1819
17/04/2004;01.00.00;2,2;111;7,1;120;88;12,5;81,8;1,1838
17/04/2004;02.00.00;1,9;134;6,4;103;83;12,7;81,2;1,1849
17/04/2004;03.00.00;-200;-200;5,1;-200;-200;12,4;82,4;1,1848
17/04/2004;04.00.00;-200;-200;3,0;-200;-200;12,6;79,9;1,1619
17/04/2004;05.00.00;-200;-200;4,2;-200;-200;12,8;80,0;1,1761
17/04/2004;06.00.00;-200;-200;5,1;-200;-200;12,6;79,9;1,1596
17/04/2004;07.00.00;-200;-200;8,1;-200;-200;12,5;79,6;1,1538
17/04/2004;08.00.00;-200;-200;8,8;-200;-200;12,8;80,8;1,1863
17/04/2004;09.00.00;-200;-200;7,2;-200;-200;13,5;78,1;1,1997
17/04/2004;10.00.00;-200;-200;9,2;-200;-200;14,6;74,9;1,2348
17/04/2004;11.00.00;-200;-200;6,0;-200;-200;16,8;61,0;1,1599
17/04/2004;12.00.00;-200;-200;5,0;-200;-200;18,8;50,1;1,0769
17/04/2004;13.00.00;-200;-200;7,5;-200;-200;19,3;47,1;1,0445
17/04/2004;14.00.00;-200;-200;3,9;-200;-200;19,3;46,6;1,0298
17/04/2004;15.00.00;-200;-200;5,0;-200;-200;19,7;44,4;1,0081
17/04/2004;16.00.00;-200;-200;5,4;-200;-200;19,3;45,7;1,0161
17/04/2004;17.00.00;-200;-200;5,0;-200;-200;17,9;49,9;1,0135
17/04/2004;18.00.00;-200;-200;5,5;-200;-200;16,9;53,2;1,0179
17/04/2004;19.00.00;-200;-200;7,8;-200;-200;16,1;56,0;1,0151
17/04/2004;20.00.00;-200;-200;8,2;-200;-200;16,5;52,8;0,9860
17/04/2004;21.00.00;-200;-200;5,3;-200;-200;16,9;51,1;0,9743
17/04/2004;22.00.00;-200;-200;7,9;-200;-200;17,0;50,8;0,9751
17/04/2004;23.00.00;-200;-200;10,7;-200;-200;16,9;54,8;1,0455
18/04/2004;00.00.00;-200;-200;6,9;-200;-200;16,3;57,2;1,0492
18/04/2004;01.00.00;-200;-200;6,3;-200;-200;16,0;56,2;1,0164
18/04/2004;02.00.00;-200;-200;5,6;-200;-200;15,6;60,2;1,0617
18/04/2004;03.00.00;-200;-200;5,4;-200;-200;14,6;68,2;1,1282
18/04/2004;04.00.00;-200;-200;3,2;-200;-200;14,3;69,6;1,1257
18/04/2004;05.00.00;-200;-200;1,9;-200;-200;13,8;71,9;1,1312
18/04/2004;06.00.00;-200;-200;2,3;-200;-200;13,8;72,7;1,1402
18/04/2004;07.00.00;-200;-200;2,4;-200;-200;14,2;72,3;1,1632
18/04/2004;08.00.00;-200;-200;2,9;-200;-200;14,5;72,9;1,1950
18/04/2004;09.00.00;-200;-200;4,2;-200;-200;14,2;75,6;1,2201
18/04/2004;10.00.00;-200;-200;6,8;-200;-200;14,5;77,2;1,2695
18/04/2004;11.00.00;-200;-200;7,3;-200;-200;14,9;74,5;1,2530
18/04/2004;12.00.00;-200;-200;5,3;-200;-200;15,5;67,4;1,1780
18/04/2004;13.00.00;-200;-200;3,4;-200;-200;16,7;56,0;1,0544
18/04/2004;14.00.00;-200;-200;3,4;-200;-200;17,1;55,5;1,0724
18/04/2004;15.00.00;-200;-200;6,8;-200;-200;16,2;62,4;1,1423
18/04/2004;16.00.00;-200;-200;7,0;-200;-200;17,4;58,9;1,1567
18/04/2004;17.00.00;-200;-200;7,7;-200;-200;17,5;54,6;1,0800
18/04/2004;18.00.00;-200;-200;8,5;-200;-200;17,5;54,2;1,0722
18/04/2004;19.00.00;-200;-200;13,5;-200;-200;17,0;55,1;1,0621
18/04/2004;20.00.00;-200;-200;9,2;-200;-200;16,4;57,8;1,0669
18/04/2004;21.00.00;-200;-200;8,7;-200;-200;15,8;60,4;1,0744
18/04/2004;22.00.00;-200;-200;6,6;-200;-200;15,5;63,3;1,1071
18/04/2004;23.00.00;-200;-200;9,1;-200;-200;15,0;65,2;1,1045
19/04/2004;00.00.00;-200;-200;7,8;-200;-200;14,5;67,3;1,1054
19/04/2004;01.00.00;-200;-200;4,2;-200;-200;14,1;70,1;1,1224
19/04/2004;02.00.00;-200;-200;3,4;-200;-200;13,8;73,3;1,1518
19/04/2004;03.00.00;-200;-200;1,7;-200;-200;13,1;78,3;1,1716
19/04/2004;04.00.00;-200;-200;2,1;-200;-200;13,0;78,2;1,1664
19/04/2004;05.00.00;-200;-200;2,2;-200;-200;14,3;70,1;1,1328
19/04/2004;06.00.00;-200;-200;6,9;-200;-200;14,0;70,9;1,1306
19/04/2004;07.00.00;-200;-200;16,5;-200;-200;15,4;64,2;1,1123
19/04/2004;08.00.00;-200;-200;18,7;-200;-200;16,5;57,9;1,0826
19/04/2004;09.00.00;-200;-200;8,5;-200;-200;18,8;48,0;1,0323
19/04/2004;10.00.00;-200;-200;6,8;-200;-200;19,5;43,3;0,9706
19/04/2004;11.00.00;-200;-200;7,5;-200;-200;18,5;45,5;0,9606
19/04/2004;12.00.00;-200;-200;10,9;-200;-200;18,0;46,7;0,9569
19/04/2004;13.00.00;-200;-200;13,4;-200;-200;16,5;58,2;1,0813
19/04/2004;14.00.00;-200;-200;7,9;-200;-200;12,1;75,6;1,0662
19/04/2004;15.00.00;-200;-200;8,8;-200;-200;11,1;75,6;0,9974
19/04/2004;16.00.00;-200;-200;11,5;-200;-200;10,5;79,0;1,0016
19/04/2004;17.00.00;-200;-200;11,8;-200;-200;10,0;80,5;0,9853
19/04/2004;18.00.00;-200;-200;8,3;-200;-200;11,3;70,5;0,9389
19/04/2004;19.00.00;-200;-200;7,9;-200;-200;10,7;71,5;0,9197
19/04/2004;20.00.00;-200;-200;6,7;-200;-200;9,9;74,0;0,9009
19/04/2004;21.00.00;-200;-200;4,6;-200;-200;10,8;68,2;0,8806
19/04/2004;22.00.00;-200;-200;5,0;-200;-200;10,2;74,0;0,9176
19/04/2004;23.00.00;-200;-200;5,3;-200;-200;10,1;77,5;0,9579
20/04/2004;00.00.00;-200;-200;3,9;-200;-200;9,9;77,7;0,9497
20/04/2004;01.00.00;-200;-200;2,9;-200;-200;9,5;80,2;0,9533
20/04/2004;02.00.00;-200;-200;1,5;-200;-200;9,5;79,7;0,9489
20/04/2004;03.00.00;-200;-200;0,8;-200;-200;9,7;78,9;0,9487
20/04/2004;04.00.00;-200;-200;1,2;-200;-200;9,8;80,0;0,9670
20/04/2004;05.00.00;-200;-200;2,9;-200;-200;10,0;79,6;0,9800
20/04/2004;06.00.00;-200;-200;7,6;-200;-200;10,3;79,4;0,9927
20/04/2004;07.00.00;-200;-200;20,7;-200;-200;11,0;77,4;1,0135
20/04/2004;08.00.00;-200;-200;29,9;-200;-200;12,3;69,2;0,9906
20/04/2004;09.00.00;-200;-200;20,1;-200;-200;14,5;60,4;0,9936
20/04/2004;10.00.00;-200;-200;17,1;-200;-200;16,0;56,3;1,0185
20/04/2004;11.00.00;-200;-200;19,4;-200;-200;18,1;51,1;1,0551
20/04/2004;12.00.00;-200;-200;18,7;-200;-200;23,0;37,5;1,0389
20/04/2004;13.00.00;-200;-200;15,8;-200;-200;21,8;39,6;1,0209
20/04/2004;14.00.00;-200;-200;10,3;-200;-200;21,9;37,2;0,9683
20/04/2004;15.00.00;-200;-200;7,9;-200;-200;23,8;31,4;0,9132
20/04/2004;16.00.00;-200;-200;13,7;-200;-200;25,9;26,9;0,8845
20/04/2004;17.00.00;-200;-200;19,7;-200;-200;25,8;29,9;0,9808
20/04/2004;18.00.00;-200;-200;25,3;-200;-200;22,6;39,5;1,0679
20/04/2004;19.00.00;-200;-200;23,9;-200;-200;19,9;45,0;1,0364
20/04/2004;20.00.00;-200;-200;20,6;-200;-200;17,9;47,4;0,9657
20/04/2004;21.00.00;-200;-200;12,3;-200;-200;16,8;50,4;0,9545
20/04/2004;22.00.00;-200;-200;7,7;-200;-200;16,0;52,0;0,9375
20/04/2004;23.00.00;-200;-200;9,0;-200;-200;14,2;59,1;0,9520
21/04/2004;00.00.00;-200;-200;4,5;-200;-200;14,2;56,7;0,9111
21/04/2004;01.00.00;-200;-200;5,8;-200;-200;12,2;67,7;0,9625
21/04/2004;02.00.00;-200;-200;3,2;-200;-200;13,2;61,7;0,9328
21/04/2004;03.00.00;-200;-200;3,0;-200;-200;10,9;71,0;0,9249
21/04/2004;04.00.00;-200;-200;2,0;-200;-200;11,3;67,6;0,9038
21/04/2004;05.00.00;-200;-200;3,7;-200;-200;10,1;71,8;0,8880
21/04/2004;06.00.00;-200;-200;8,7;-200;-200;10,2;70,9;0,8841
21/04/2004;07.00.00;-200;-200;27,0;-200;-200;11,8;66,0;0,9085
21/04/2004;08.00.00;-200;-200;40,3;-200;-200;14,0;58,2;0,9271
21/04/2004;09.00.00;-200;-200;20,0;-200;-200;17,0;50,2;0,9646
21/04/2004;10.00.00;-200;-200;17,1;-200;-200;22,3;36,9;0,9838
21/04/2004;11.00.00;-200;-200;11,0;-200;-200;24,4;30,9;0,9340
21/04/2004;12.00.00;-200;-200;10,6;-200;-200;25,9;26,7;0,8771
21/04/2004;13.00.00;-200;-200;10,5;-200;-200;25,8;26,1;0,8540
21/04/2004;14.00.00;-200;-200;9,6;-200;-200;26,3;24,8;0,8393
21/04/2004;15.00.00;-200;-200;9,3;-200;-200;27,0;22,2;0,7805
21/04/2004;16.00.00;-200;-200;12,7;-200;-200;27,3;20,5;0,7308
21/04/2004;17.00.00;-200;-200;19,8;-200;-200;25,8;24,1;0,7912
21/04/2004;18.00.00;-200;-200;32,5;-200;-200;25,3;28,9;0,9151
21/04/2004;19.00.00;-200;-200;33,6;-200;-200;23,8;33,7;0,9786
21/04/2004;20.00.00;-200;-200;26,0;-200;-200;21,4;36,0;0,9059
21/04/2004;21.00.00;-200;-200;16,4;-200;-200;19,8;39,5;0,9016
21/04/2004;22.00.00;-200;-200;10,6;-200;-200;19,2;42,1;0,9273
21/04/2004;23.00.00;-200;-200;7,1;-200;-200;18,8;45,8;0,9855
22/04/2004;00.00.00;-200;-200;6,4;-200;-200;17,1;50,8;0,9828
22/04/2004;01.00.00;-200;-200;4,6;-200;-200;16,2;53,4;0,9775
22/04/2004;02.00.00;-200;-200;3,0;-200;-200;16,0;53,5;0,9691
22/04/2004;03.00.00;-200;-200;2,2;-200;-200;14,3;59,2;0,9601
22/04/2004;04.00.00;-200;-200;1,7;-200;-200;13,3;62,6;0,9498
22/04/2004;05.00.00;-200;-200;2,2;-200;-200;13,4;59,5;0,9097
22/04/2004;06.00.00;-200;-200;5,7;-200;-200;12,2;64,1;0,9062
22/04/2004;07.00.00;-200;-200;13,8;-200;-200;13,9;57,2;0,9029
22/04/2004;08.00.00;-200;-200;21,6;-200;-200;15,2;53,2;0,9107
22/04/2004;09.00.00;-200;-200;26,1;-200;-200;19,2;41,6;0,9154
22/04/2004;10.00.00;-200;-200;20,1;-200;-200;23,7;30,6;0,8854
22/04/2004;11.00.00;-200;-200;15,4;-200;-200;26,1;26,8;0,8921
22/04/2004;12.00.00;-200;-200;13,6;-200;-200;28,1;24,4;0,9138
22/04/2004;13.00.00;-200;-200;11,1;-200;-200;28,3;23,9;0,9060
22/04/2004;14.00.00;-200;-200;12,2;-200;-200;28,0;21,0;0,7814
22/04/2004;15.00.00;-200;-200;17,5;-200;-200;30,8;16,4;0,7167
22/04/2004;16.00.00;-200;-200;19,1;-200;-200;31,3;16,2;0,7262
22/04/2004;17.00.00;-200;-200;27,1;-200;-200;29,4;20,5;0,8262
22/04/2004;18.00.00;-200;-200;28,3;-200;-200;25,8;24,3;0,7940
22/04/2004;19.00.00;-200;-200;35,0;-200;-200;23,8;29,5;0,8559
22/04/2004;20.00.00;-200;-200;22,4;-200;-200;22,0;34,8;0,9080
22/04/2004;21.00.00;-200;-200;13,5;-200;-200;20,2;37,4;0,8748
22/04/2004;22.00.00;-200;-200;8,2;-200;-200;19,3;38,8;0,8559
22/04/2004;23.00.00;-200;-200;7,8;-200;-200;17,9;43,7;0,8856
23/04/2004;00.00.00;-200;-200;10,0;-200;-200;17,2;47,9;0,9334
23/04/2004;01.00.00;-200;-200;6,6;-200;-200;16,3;49,7;0,9160
23/04/2004;02.00.00;-200;-200;3,4;-200;-200;16,7;46,5;0,8755
23/04/2004;03.00.00;-200;-200;2,8;-200;-200;14,6;53,0;0,8775
23/04/2004;04.00.00;-200;-200;2,3;-200;-200;14,1;53,9;0,8633
23/04/2004;05.00.00;0,6;46;2,9;59;59;14,2;52,2;0,8413
23/04/2004;06.00.00;0,8;56;4,9;72;67;14,3;55,4;0,9003
23/04/2004;07.00.00;4;452;22,6;244;95;14,0;58,0;0,9202
23/04/2004;08.00.00;5,6;880;31,1;351;123;15,4;53,3;0,9289
23/04/2004;09.00.00;5;759;22,1;358;142;19,1;42,1;0,9233
23/04/2004;10.00.00;3,2;394;18,3;245;142;23,7;31,0;0,8968
23/04/2004;11.00.00;3,8;639;22,0;240;169;26,9;25,7;0,8942
23/04/2004;12.00.00;3,3;541;20,1;179;142;29,7;20,6;0,8478
23/04/2004;13.00.00;3;468;18,9;160;136;29,2;21,5;0,8573
23/04/2004;14.00.00;3,2;483;20,6;174;147;29,6;20,1;0,8181
23/04/2004;15.00.00;4,4;682;25,3;260;196;30,0;19,4;0,8100
23/04/2004;16.00.00;4,6;698;25,8;281;186;29,5;20,1;0,8136
23/04/2004;17.00.00;5,2;832;30,6;284;177;27,0;26,8;0,9403
23/04/2004;18.00.00;4,8;872;27,1;250;164;24,9;30,8;0,9540
23/04/2004;19.00.00;5,6;899;32,5;281;161;23,1;36,7;1,0244
23/04/2004;20.00.00;4,6;692;20,8;230;146;21,5;40,8;1,0333
23/04/2004;21.00.00;1,8;145;10,9;98;98;20,5;41,5;0,9864
23/04/2004;22.00.00;2,2;208;13,0;121;108;19,2;44,9;0,9875
23/04/2004;23.00.00;2;204;11,8;110;107;18,8;47,7;1,0221
24/04/2004;00.00.00;2,8;240;13,4;161;113;18,2;49,7;1,0284
24/04/2004;01.00.00;2,6;251;13,4;148;100;16,1;57,4;1,0451
24/04/2004;02.00.00;1,8;173;9,0;109;87;16,3;55,3;1,0178
24/04/2004;03.00.00;1,1;113;5,8;-200;-200;15,7;53,6;0,9483
24/04/2004;04.00.00;-200;55;3,8;45;60;16,9;49,8;0,9514
24/04/2004;05.00.00;0,7;65;3,7;71;65;14,8;57,7;0,9644
24/04/2004;06.00.00;0,9;119;5,7;75;64;14,0;59,7;0,9499
24/04/2004;07.00.00;1,5;151;10,0;106;73;14,6;56,8;0,9385
24/04/2004;08.00.00;2,5;305;15,0;166;86;16,7;51,9;0,9788
24/04/2004;09.00.00;3;415;15,6;188;105;20,0;45,0;1,0390
24/04/2004;10.00.00;2,6;321;12,3;161;107;23,9;33,7;0,9837
24/04/2004;11.00.00;2,6;358;14,4;139;114;26,8;29,5;1,0209
24/04/2004;12.00.00;2,6;350;14,6;134;105;27,2;32,4;1,1493
24/04/2004;13.00.00;1,9;238;8,7;84;74;26,9;32,1;1,1217
24/04/2004;14.00.00;2;215;11,0;98;95;24,3;41,8;1,2561
24/04/2004;15.00.00;1,7;192;9,0;91;89;25,6;36,0;1,1629
24/04/2004;16.00.00;1,9;205;10,7;99;95;27,0;31,8;1,1176
24/04/2004;17.00.00;1,8;165;9,9;90;93;27,5;31,6;1,1417
24/04/2004;18.00.00;2,8;283;15,7;147;123;24,9;38,1;1,1838
24/04/2004;19.00.00;3,5;467;19,4;177;134;23,4;39,7;1,1276
24/04/2004;20.00.00;3,4;485;16,8;162;126;21,2;50,8;1,2631
24/04/2004;21.00.00;2;202;6,8;88;79;15,6;73,5;1,2953
24/04/2004;22.00.00;1,1;64;3,0;53;54;12,9;79,7;1,1774
24/04/2004;23.00.00;1,3;71;3,2;68;69;11,5;76,9;1,0436
25/04/2004;00.00.00;1,2;84;3,1;61;67;12,2;66,8;0,9455
25/04/2004;01.00.00;1,3;70;3,9;71;73;12,4;64,1;0,9209
25/04/2004;02.00.00;1;61;3,6;63;73;12,7;58,7;0,8605
25/04/2004;03.00.00;1,3;92;4,5;-200;-200;12,6;58,6;0,8529
25/04/2004;04.00.00;-200;40;1,2;23;33;12,5;51,2;0,7374
25/04/2004;05.00.00;0,3;20;0,7;14;20;12,5;50,9;0,7346
25/04/2004;06.00.00;0,5;31;1,1;34;37;12,8;49,3;0,7285
25/04/2004;07.00.00;0,6;41;1,4;42;50;13,5;48,6;0,7487
25/04/2004;08.00.00;0,6;40;1,6;40;45;14,4;45,9;0,7476
25/04/2004;09.00.00;0,8;35;2,3;48;48;15,1;43,9;0,7487
25/04/2004;10.00.00;1;44;2,5;61;56;16,6;38,6;0,7236
25/04/2004;11.00.00;0,9;71;2,7;58;58;17,2;35,0;0,6789
25/04/2004;12.00.00;1;66;2,7;57;52;17,4;33,9;0,6683
25/04/2004;13.00.00;0,8;46;2,2;54;52;17,9;30,7;0,6234
25/04/2004;14.00.00;0,7;50;2,0;41;44;18,3;27,2;0,5675
25/04/2004;15.00.00;0,9;51;3,4;57;59;19,4;25,7;0,5738
25/04/2004;16.00.00;1,3;64;4,5;83;74;20,2;24,1;0,5630
25/04/2004;17.00.00;1,4;138;4,7;81;76;19,6;24,9;0,5625
25/04/2004;18.00.00;1,5;137;6,0;98;83;18,5;27,8;0,5843
25/04/2004;19.00.00;2,7;303;11,7;124;100;17,8;30,3;0,6129
25/04/2004;20.00.00;2,5;204;8,2;133;101;16,6;34,0;0,6353
25/04/2004;21.00.00;1,4;95;5,1;100;90;15,5;37,0;0,6447
25/04/2004;22.00.00;2,8;347;13,0;116;93;14,8;39,5;0,6595
25/04/2004;23.00.00;2,1;252;7,0;102;79;14,5;42,0;0,6896
26/04/2004;00.00.00;1,1;66;3,9;55;57;14,1;44,9;0,7206
26/04/2004;01.00.00;0,7;45;2,2;33;43;14,2;45,5;0,7333
26/04/2004;02.00.00;0,4;36;1,3;17;25;14,1;45,3;0,7247
26/04/2004;03.00.00;0,3;26;0,8;-200;-200;14,0;44,3;0,7038
26/04/2004;04.00.00;-200;17;0,6;10;17;14,1;43,0;0,6890
26/04/2004;05.00.00;0,4;21;1,2;35;44;13,9;43,9;0,6923
26/04/2004;06.00.00;0,8;60;3,4;70;72;14,0;43,8;0,6959
26/04/2004;07.00.00;1,9;155;7,5;116;91;14,4;43,6;0,7113
26/04/2004;08.00.00;2,1;235;8,9;134;89;15,0;41,7;0,7093
26/04/2004;09.00.00;1,4;89;5,3;113;84;16,3;38,4;0,7052
26/04/2004;10.00.00;1,4;76;5,4;110;83;18,3;32,3;0,6760
26/04/2004;11.00.00;1,3;101;5,2;98;78;18,8;31,7;0,6821
26/04/2004;12.00.00;1,5;109;6,6;96;80;19,6;30,9;0,6968
26/04/2004;13.00.00;1,6;143;6,9;95;75;20,2;30,7;0,7176
26/04/2004;14.00.00;1,3;104;5,4;86;77;19,7;32,5;0,7396
26/04/2004;15.00.00;1,4;107;6,0;86;77;20,7;31,6;0,7602
26/04/2004;16.00.00;1,5;133;6,4;91;81;20,0;32,7;0,7545
26/04/2004;17.00.00;2,2;171;10,7;119;101;18,6;35,4;0,7535
26/04/2004;18.00.00;3,2;405;13,9;147;119;18,3;35,9;0,7501
26/04/2004;19.00.00;3;334;12,5;135;111;17,8;37,5;0,7568
26/04/2004;20.00.00;2,6;236;9,3;124;109;17,3;38,8;0,7584
26/04/2004;21.00.00;1,6;99;6,7;89;101;17,3;38,8;0,7596
26/04/2004;22.00.00;1,5;93;5,3;79;89;16,4;40,8;0,7542
26/04/2004;23.00.00;1,2;82;4,0;63;75;16,0;41,4;0,7487
27/04/2004;00.00.00;0,8;51;2,2;39;51;15,4;43,0;0,7482
27/04/2004;01.00.00;0,7;41;1,7;25;39;15,7;42,5;0,7539
27/04/2004;02.00.00;0,5;31;1,6;19;32;15,6;43,4;0,7651
27/04/2004;03.00.00;0,5;41;1,5;-200;-200;15,2;45,8;0,7864
27/04/2004;04.00.00;-200;41;2,5;34;49;14,7;49,9;0,8280
27/04/2004;05.00.00;0,7;38;3,3;58;68;15,5;47,3;0,8282
27/04/2004;06.00.00;1,4;111;8,9;112;76;14,4;53,1;0,8677
27/04/2004;07.00.00;4,1;584;23,4;314;122;15,9;48,5;0,8704
27/04/2004;08.00.00;4,6;633;23,8;240;129;18,1;40,3;0,8294
27/04/2004;09.00.00;1,9;145;7,9;128;94;19,6;35,9;0,8100
27/04/2004;10.00.00;1,9;155;8,2;141;99;22,8;29,1;0,7960
27/04/2004;11.00.00;1,7;128;8,8;118;81;24,8;25,3;0,7793
27/04/2004;12.00.00;2,4;255;14,6;132;87;27,2;22,0;0,7785
27/04/2004;13.00.00;3;411;18,0;150;107;28,2;20,4;0,7677
27/04/2004;14.00.00;2;173;12,0;121;95;25,4;24,2;0,7733
27/04/2004;15.00.00;2,7;277;14,8;149;110;25,7;23,8;0,7737
27/04/2004;16.00.00;2,2;259;12,5;120;99;27,2;22,1;0,7811
27/04/2004;17.00.00;2,9;274;15,5;155;113;27,0;22,3;0,7860
27/04/2004;18.00.00;3,4;377;17,7;172;127;24,5;27,8;0,8433
27/04/2004;19.00.00;3,9;457;21,6;177;131;23,7;30,2;0,8718
27/04/2004;20.00.00;3,6;555;18,9;181;137;21,5;34,5;0,8746
27/04/2004;21.00.00;2,5;279;12,5;135;122;19,9;37,8;0,8675
27/04/2004;22.00.00;1,8;137;8,8;99;100;18,9;40,6;0,8771
27/04/2004;23.00.00;2;203;10,9;111;108;17,9;43,5;0,8840
28/04/2004;00.00.00;1,3;101;8,0;72;83;17,4;46,3;0,9112
28/04/2004;01.00.00;1;86;4,4;54;74;18,1;44,7;0,9186
28/04/2004;02.00.00;0,6;51;2,8;41;64;16,5;50,1;0,9331
28/04/2004;03.00.00;0,6;47;2,7;-200;-200;14,2;56,9;0,9141
28/04/2004;04.00.00;-200;35;2,2;24;40;14,7;56,2;0,9341
28/04/2004;05.00.00;0,5;33;2,5;29;39;16,3;52,8;0,9722
28/04/2004;06.00.00;1,1;95;7,5;76;69;13,9;60,7;0,9597
28/04/2004;07.00.00;5,5;754;30,4;321;104;15,0;58,3;0,9876
28/04/2004;08.00.00;4,2;588;22,0;274;100;16,1;54,8;0,9960
28/04/2004;09.00.00;4,6;658;24,7;322;146;19,3;46,4;1,0248
28/04/2004;10.00.00;3,4;372;18,4;255;155;24,2;33,8;1,0097
28/04/2004;11.00.00;2,8;386;16,8;196;139;26,7;28,7;0,9895
28/04/2004;12.00.00;2,5;333;14,2;136;121;27,4;28,2;1,0098
28/04/2004;13.00.00;2,4;293;15,7;119;108;28,1;26,9;1,0094
28/04/2004;14.00.00;3,2;511;21,9;169;126;27,7;26,5;0,9693
28/04/2004;15.00.00;3,5;559;20,8;197;145;28,4;23,4;0,8935
28/04/2004;16.00.00;2,9;375;16,2;140;121;28,4;26,0;0,9922
28/04/2004;17.00.00;3,6;509;19,8;178;145;27,3;30,0;1,0752
28/04/2004;18.00.00;4,8;790;28,9;223;160;24,3;37,3;1,1199
28/04/2004;19.00.00;5,4;816;28,3;222;155;23,1;42,2;1,1746
28/04/2004;20.00.00;5,3;804;24,9;265;162;21,8;43,6;1,1226
28/04/2004;21.00.00;2,7;332;13,1;151;129;19,8;46,8;1,0702
28/04/2004;22.00.00;1,4;156;8,6;79;96;19,6;49,8;1,1221
28/04/2004;23.00.00;1,6;143;9,5;87;92;17,9;56,2;1,1420
29/04/2004;00.00.00;1,5;117;7,8;88;89;17,4;55,6;1,0963
29/04/2004;01.00.00;1;84;5,2;51;61;16,8;59,5;1,1269
29/04/2004;02.00.00;0,6;60;2,8;34;54;15,9;60,1;1,0806
29/04/2004;03.00.00;0,4;76;2,3;-200;-200;15,6;61,2;1,0784
29/04/2004;04.00.00;-200;40;2,5;31;44;14,6;63,4;1,0446
29/04/2004;05.00.00;0,8;64;4,4;76;57;13,3;67,0;1,0203
29/04/2004;06.00.00;1,5;148;9,4;139;68;12,9;66,5;0,9846
29/04/2004;07.00.00;4,9;635;29,8;293;95;14,8;61,3;1,0237
29/04/2004;08.00.00;7,2;1129;36,2;368;125;16,1;56,5;1,0274
29/04/2004;09.00.00;3,5;475;18,0;250;135;18,6;47,8;1,0143
29/04/2004;10.00.00;2,1;220;10,9;145;118;23,8;30,2;0,8771
29/04/2004;11.00.00;1,5;105;9,0;110;91;25,4;25,0;0,7966
29/04/2004;12.00.00;2;190;14,4;104;89;25,6;25,5;0,8234
29/04/2004;13.00.00;3,8;516;22,3;205;129;24,9;29,9;0,9325
29/04/2004;14.00.00;3,4;346;20,9;201;122;22,4;37,9;1,0160
29/04/2004;15.00.00;4,4;565;23,1;266;138;21,7;44,0;1,1242
29/04/2004;16.00.00;3,9;483;21,2;246;136;21,4;44,4;1,1176
29/04/2004;17.00.00;4,9;651;24,8;247;143;20,8;45,3;1,1016
29/04/2004;18.00.00;5,4;657;28,6;271;145;20,2;48,6;1,1354
29/04/2004;19.00.00;6,5;830;32,6;332;146;20,2;50,8;1,1924
29/04/2004;20.00.00;4,3;435;19,2;245;122;18,6;57,6;1,2233
29/04/2004;21.00.00;2,9;209;16,3;180;112;18,2;58,8;1,2173
29/04/2004;22.00.00;2,7;202;13,7;156;102;17,8;61,0;1,2352
29/04/2004;23.00.00;2,8;174;13,6;172;97;17,0;70,7;1,3554
30/04/2004;00.00.00;2,3;170;11,1;137;85;16,2;76,9;1,4051
30/04/2004;01.00.00;1,7;116;7,6;91;76;15,7;78,6;1,3943
30/04/2004;02.00.00;1,2;91;5,9;80;74;15,7;78,4;1,3917
30/04/2004;03.00.00;1;71;5,0;-200;-200;15,7;77,4;1,3683
30/04/2004;04.00.00;-200;59;4,0;46;56;15,4;78,5;1,3635
30/04/2004;05.00.00;0,8;48;4,5;68;66;15,7;74,7;1,3194
30/04/2004;06.00.00;1,7;111;9,3;162;90;15,9;73,1;1,3136
30/04/2004;07.00.00;3;345;18,3;213;111;16,6;68,2;1,2737
30/04/2004;08.00.00;3,4;332;19,9;161;103;18,7;57,6;1,2323
30/04/2004;09.00.00;3,3;344;16,6;209;117;17,6;65,0;1,2945
